"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "Markdown", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/inventory/InventoryOverview.tsx", "TypeScript JSX", 0, 169, 0, 0, 0, 0, 0, 0, 3, 10, 182
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/inventory/LowStockGraph.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/inventory/MostOrderedGraph.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/inventory/add-product/UploadProductImage.tsx", "TypeScript JSX", 0, 104, 0, 0, 0, 0, 0, 0, 3, 11, 118
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/inventory/all-products/AllProductsTable.tsx", "TypeScript JSX", 0, 216, 0, 0, 0, 0, 0, 0, 7, 17, 240
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/inventory/product/ProductDetails.tsx", "TypeScript JSX", 0, 193, 0, 0, 0, 0, 0, 0, 12, 13, 218
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/orders/DataTable.tsx", "TypeScript JSX", 0, 198, 0, 0, 0, 0, 0, 0, 24, 14, 236
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/orders/OrderDetails.tsx", "TypeScript JSX", 0, 243, 0, 0, 0, 0, 0, 0, 7, 31, 281
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/orders/OrderHistoryTable.tsx", "TypeScript JSX", 0, 207, 0, 0, 0, 0, 0, 0, 4, 12, 223
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/orders/TotalOrders.tsx", "TypeScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 1, 14, 156
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/dashboard/promotions-discounts/AllDiscountsTable.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/forms/AddProductForm.tsx", "TypeScript JSX", 0, 308, 0, 0, 0, 0, 0, 0, 12, 23, 343
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/forms/EditProductForm.tsx", "TypeScript JSX", 0, 306, 0, 0, 0, 0, 0, 0, 16, 30, 352
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/forms/OnBoardingForm.tsx", "TypeScript JSX", 0, 183, 0, 0, 0, 0, 0, 0, 4, 19, 206
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/forms/SignInForm.tsx", "TypeScript JSX", 0, 175, 0, 0, 0, 0, 0, 0, 4, 15, 194
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/forms/SignUpForm.tsx", "TypeScript JSX", 0, 333, 0, 0, 0, 0, 0, 0, 12, 26, 371
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/DataTableColumnHeader.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 5, 73
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/MobileNav.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 1, 7, 84
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/Pagination.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 4, 94
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/ProfileDropdown.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 3, 8, 45
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/Sidebar.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 8, 81
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/Topbar.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/filters/TableFilter.tsx", "TypeScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 8, 127
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 15, 142
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/badge.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 11, 116
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/button.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/card.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 9, 77
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/chart.tsx", "TypeScript JSX", 0, 332, 0, 0, 0, 0, 0, 0, 2, 37, 371
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/command.tsx", "TypeScript JSX", 0, 137, 0, 0, 0, 0, 0, 0, 0, 19, 156
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 14, 123
