"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/forms/EditProductForm.tsx", "TypeScript JSX", 0, 306, 0, 0, 0, 0, 16, 30, 352
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/Pagination.tsx", "TypeScript JSX", 0, -4, 0, 0, 0, 0, 0, 0, -4
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/shared/Topbar.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 127, 0, 0, 0, 0, 0, 15, 142
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/badge.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/button.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/pagination.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 0, 11, 122
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/components/ui/separator.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/constants/index.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 3, 76
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/lib/actions/product.actions.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 3, 8, 37
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/src/lib/utils.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/todo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant/tsconfig.json", "JSON with Comments", 0, 0, 0, 2, 0, 0, 0, 1, 3
"Total", "-", 27, 3342, 266, 2, 4, 1, 126, 340, 4108
